Code,Language,Type,URL,Comment,SHA
PENNANT,C++,git,https://github.com/lanl/PENNANT.git,,d7b770ecd5cc75bbb768554fcd9b2977e65b6e06
PICSAR,Fortran,git,https://github.com/ECP-WarpX/picsar.git,,1903ecfff51a31a321d39790af90d8520c10537e
Paradis,C,???,http://paradis.stanford.edu/,,
PlasmaApp,C++,git,https://github.com/cocomans/plasma,,b1b95400980090fa169e00368fadfe01d2ad41b7
PrincetonCBEMDMPI,C++,git,https://github.com/PrincetonUniversity/PrincetonCBEMDMPI.git,,69fd56b9baf482426a5962beb0b146c97aa3985e
ProfugusMC,C++,git,https://code.ornl.gov/ProfugusMC/ProfugusMC.git,,16b4205c58a4134484fc5e139fae5ff5784f4e7a
QBox,C++,git,https://github.com/qboxcode/qbox-public.git,,51a2cd8c0de2d7df12aa699bfa36bd1596748acb
Qmcpack,C++,git,https://github.com/QMCPACK/qmcpack.git,,8ea0d49e0cb0fbbd158f3068698857f97e4b107a
Quantum_Espresso,?,OnlyPerRequest,https://www.quantum-espresso.org/,,
SCOREC,C++,git,https://github.com/SCOREC/core.git,,8436909d489f6d99a199239ff835d82dd94381c2
SNbone,Fortran,git,https://github.com/ANL-CESAR/SNbone.git,,dc2c25d51af12933070fd559d933431dd146a035
SPPARKS,C,git,https://github.com/spparks/spparks.git,,bc8e328ca2bd3f79643659f197464c09f76f59e3
SW4lite,C,git,https://github.com/geodynamics/sw4lite.git,,06b888cd991c61e4b0168ec31b55e9af4135843a
SWFFT,C,git,https://git.cels.anl.gov/hacc/SWFFT.git,,203c595f52595d62ba42e6f86f58d1f45bb056b0
Samrai,C++,git,https://github.com/LLNL/SAMRAI.git,,d0e1ed43eb204761eed43b76001969f945d6358f
ScaLAPACK,Fortran,git,https://github.com/Reference-ScaLAPACK/scalapack.git,,2072b8602f0a5a84d77a712121f7715c58a2e80d
Scale,?,?Paid?,https://www.ornl.gov/content/how-order-scale,,
SimpleMOC,C,git,https://github.com/ANL-CESAR/SimpleMOC.git,,4c51b8cb820cde735b79bd3496b34b1aa18537f2
TCLB,C++,git,https://github.com/CFD-GO/TCLB.git,,1bbefc0a154074a01fe1dd556ea41ea89346d51a
Trilinos,C++,git,https://github.com/trilinos/Trilinos.git,,b95d382c8faab6dca66e70d2098181f3846723d8
Tycho2,C++,git,https://github.com/lanl/tycho2.git,,4564c1fe9c0ef9eafd656854a81e4b4010b5a429
VMD,?,OnlyPerRequest,https://www.ks.uiuc.edu/Development/Download/download.cgi?PackageName=VMD,Needs registration,
VPFFT,C++,git,https://github.com/exmatex/VPFFT.git,Does it use MPI only indirectly?,3929dfc882672e05e890468048b639eb6f078fb8
WRF,Fortran,git,https://github.com/wrf-model/WRF.git,,21c72141142fc6c8d203d2bf79f1990e45a0aef8
abinit,Fortran,git,https://github.com/abinit/abinit.git,,2004cce5534a2d45b1f3a59e5aa5e3636914bb03
amgcl,C++,git,https://github.com/ddemidov/amgcl.git,,276a6492f69e8c70a7e45baa32db500838952352
arbor,C++,git,https://github.com/arbor-sim/arbor.git,,d1139b700db0ed640e216f76564278f14fd83dca
ascent,C++,git,https://github.com/Alpine-DAV/ascent.git,,571d98583a3141a42813175cb6019bac471825a1
cp2k,Fortran,git,https://github.com/cp2k/cp2k.git,,d168495ed9e6cddd42101d7df39d7697855199e2
elmerfem,Fortran,git,https://github.com/ElmerCSC/elmerfem.git,,559eb00588f5d12aa117969992ae62bcdcec8206
feltor,Cuda,git,https://gitlab.eufus.psnc.pl/g2mwiese/feltor.git,,36a5039d74aec0f914723197212470690e19dc60
ffm_mpi,C++,git,https://github.com/xswang/ffm_mpi.git,,6e24da29d9e27795ebd5dfc912147c409e97359e
horovod,Python/C++,git,https://github.com/horovod/horovod.git,,1ea00673d9a2e2cbf47278e2353039c3c6916cab
meep,C++,git,https://github.com/NanoComp/meep.git,,b3f42f2af1f925776ddb01d229fd8e5afeb3c0c1
metag_partioning,C,git,https://github.com/ParBLiSS/metag_partitioning.git,,cf86d7755513d1d22c5b75580a9749006dedc70f
miniAMR,C,git,https://github.com/Mantevo/miniAMR.git,,1f49af28821b7dede6d439c13de60ddb74bf14ce
miniAero,C++,git,https://github.com/Mantevo/miniAero.git,,f46d135479a5be19ec5d146ccaf0e581aeff4596
miniFE,C++,git,https://github.com/Mantevo/miniFE.git,,c043cd1bafebad7fad58904625768024ddb33b73
miniMD,C++,git,https://github.com/Mantevo/miniMD.git,,ab40f4c8b0808959abe1e60508e698d6d0d65ac1
miniSMAC2d,Fortran,git,https://github.com/Mantevo/miniSMAC.git,,f90446714226eeef650b78bce06ca4967792e74d
miniTri,C++,git,https://github.com/Mantevo/miniTri.git,,9771c71f3d25023fc50bc6e84a905d6d50e81151
miniVite,C++,git,https://github.com/ECP-ExaGraph/miniVite.git,,cafc77078107df3f60b59efad5a58438b245277a
miniXyce,C++,git,https://github.com/Mantevo/miniXyce.git,,ef1acf2645bcafc701d714564517eb4227483a21
mxx,C++,git,https://github.com/patflick/mxx.git,Seems like a MPI wrapper?,e1f4acd8f5dc91da4945b5f6b6e7828991afeb0a
Nest-simulator,C++,git,https://github.com/nest/nest-simulator.git,,df433d1d6f0ea3f406701b34025e56ac17d168c3
Ntchem-mini,Fortran,git,https://github.com/fiber-miniapp/ntchem-mini.git,,bb8220ccee3693e7e5b0b234fb3ca9c407166125
phyml,C,git,https://github.com/stephaneguindon/phyml.git,,bfac2426821a70c507680a8652e6729e56cd7f14
pism,C++,git,https://github.com/pism/pism.git,,5440553b1d8e48878ca9441e5af644130833e1a7
pypar,Python/C,git,https://github.com/daleroberts/pypar.git,,6376f8fb5a243fca8ada24a1ee9dd3f8b1eea4d2
rocALUTION,C++,git,https://github.com/ROCmSoftwarePlatform/rocALUTION.git,,d3413404b3b82d4785c638b629ab7089455befb8
siesta,Fortran,git,https://gitlab.com/siesta-project/siesta.git,,a645added0d7e14f5ff603d6ec42db568b24e33a
splatt,C,git,https://github.com/ShadenSmith/splatt.git,,6cb86283c1fbfddcc67c2564e025691de4f784cf
Thornado-mini,Fortran,git,https://github.com/ECP-Astro/thornado_mini.git,,43d565ed9cfbef605893f85a8ef7999eb65e301f
yambo,Fortran,git,https://github.com/yambo-code/yambo.git,,904617c8775303650ed8c345857638ede387c235
